accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss,learning_rate
0.3069249987602234,0.30159667134284973,1.884658932685852,0.4032000005245209,0.3660217821598053,1.6179131269454956,0.0010000000474974513
0.43494999408721924,0.4293469786643982,1.5527009963989258,0.49939998984336853,0.463510662317276,1.4054359197616577,0.0010000000474974513
0.4930500090122223,0.4888005554676056,1.4106287956237793,0.4984999895095825,0.44769418239593506,1.4512635469436646,0.0010000000474974513
0.5275499820709229,0.5240112543106079,1.3146635293960571,0.5659000277519226,0.5392290353775024,1.2602390050888062,0.0010000000474974513
0.5648750066757202,0.5619937181472778,1.2331537008285522,0.5964000225067139,0.5762249231338501,1.1278949975967407,0.0010000000474974513
0.5890250205993652,0.5868126153945923,1.1711996793746948,0.6179999709129333,0.6061022281646729,1.086965560913086,0.0010000000474974513
0.607699990272522,0.6057862043380737,1.1206345558166504,0.6574000120162964,0.6476659774780273,0.9900699257850647,0.0010000000474974513
0.6222749948501587,0.6206356883049011,1.082080364227295,0.6606000065803528,0.6462275385856628,0.9632638692855835,0.0010000000474974513
0.6414499878883362,0.640172004699707,1.0438101291656494,0.6367999911308289,0.6242831945419312,1.0454576015472412,0.0010000000474974513
0.6515499949455261,0.650391697883606,1.0147020816802979,0.705299973487854,0.6970791816711426,0.8476032018661499,0.0010000000474974513
0.6618750095367432,0.6609097719192505,0.9873790144920349,0.6593999862670898,0.6496230959892273,1.0112900733947754,0.0010000000474974513
0.6672250032424927,0.6658825874328613,0.9647120833396912,0.6729999780654907,0.6622721552848816,0.9580057859420776,0.0010000000474974513
0.6796500086784363,0.678680419921875,0.9417851567268372,0.6793000102043152,0.658700704574585,0.963271975517273,0.0010000000474974513
0.6838250160217285,0.6826989650726318,0.9223912358283997,0.7009999752044678,0.6868305206298828,0.8739650249481201,0.0010000000474974513
0.6938250064849854,0.6927174925804138,0.8993222713470459,0.7228999733924866,0.7178585529327393,0.7996620535850525,0.0010000000474974513
0.69964998960495,0.6988917589187622,0.8893022537231445,0.6754999756813049,0.6586660146713257,1.0178569555282593,0.0010000000474974513
0.7024750113487244,0.7016260623931885,0.8738064169883728,0.7139999866485596,0.6948834657669067,0.8261255025863647,0.0010000000474974513
0.7080749869346619,0.707321286201477,0.8612589836120605,0.7451000213623047,0.7341926097869873,0.7384275197982788,0.0010000000474974513
0.7125250101089478,0.7117606401443481,0.8510702848434448,0.7346000075340271,0.7315605282783508,0.7821645140647888,0.0010000000474974513
0.714775025844574,0.7141809463500977,0.8357518315315247,0.738099992275238,0.7323222756385803,0.7707334756851196,0.0010000000474974513
0.7178750038146973,0.717180609703064,0.8309886455535889,0.7093999981880188,0.7028312683105469,0.8430538773536682,0.0010000000474974513
0.7230250239372253,0.7223200798034668,0.8175680637359619,0.7026000022888184,0.6834112405776978,0.912757933139801,0.0010000000474974513
0.7285500168800354,0.7277169823646545,0.8030416369438171,0.7106000185012817,0.6952630877494812,0.8588605523109436,0.0010000000474974513
0.7422749996185303,0.7418743968009949,0.7576234340667725,0.770799994468689,0.765722930431366,0.6624411940574646,0.0005000000237487257
0.7494000196456909,0.7487130165100098,0.7432491779327393,0.7628999948501587,0.7566983699798584,0.6812622547149658,0.0005000000237487257
0.7520750164985657,0.7513501048088074,0.734046459197998,0.7764000296592712,0.7714647650718689,0.6439869999885559,0.0005000000237487257
0.7516499757766724,0.750942587852478,0.7343712449073792,0.7639999985694885,0.7579082250595093,0.6983492970466614,0.0005000000237487257
0.7565749883651733,0.7558435797691345,0.7202963829040527,0.7623000144958496,0.7534550428390503,0.7001637816429138,0.0005000000237487257
0.7577250003814697,0.7571722269058228,0.714657187461853,0.7617999911308289,0.7581769227981567,0.7000066041946411,0.0005000000237487257
0.7610999941825867,0.7605259418487549,0.710735023021698,0.7712000012397766,0.7676013708114624,0.6713369488716125,0.0005000000237487257
0.7597000002861023,0.7591040730476379,0.7041435241699219,0.7710000276565552,0.7663073539733887,0.668907105922699,0.0005000000237487257
0.7661499977111816,0.765464186668396,0.6870107054710388,0.7929999828338623,0.7902387380599976,0.6005098819732666,0.0002500000118743628
0.7681000232696533,0.7673170566558838,0.6766894459724426,0.7915999889373779,0.7873290181159973,0.6076390147209167,0.0002500000118743628
0.775475025177002,0.7750241756439209,0.6663615107536316,0.7921000123023987,0.787907063961029,0.6037285327911377,0.0002500000118743628
0.7726749777793884,0.772118866443634,0.676062822341919,0.7839000225067139,0.7774688005447388,0.6359911561012268,0.0002500000118743628
0.7778000235557556,0.7772835493087769,0.661552369594574,0.7943999767303467,0.7892550826072693,0.6027940511703491,0.0002500000118743628
0.7766749858856201,0.7761462926864624,0.6591903567314148,0.8040000200271606,0.7994309663772583,0.5755054950714111,0.0002500000118743628
0.7764250040054321,0.7759498953819275,0.6560603380203247,0.788100004196167,0.7816694974899292,0.631295382976532,0.0002500000118743628
0.7787749767303467,0.7781574130058289,0.656181812286377,0.7860999703407288,0.7790180444717407,0.6318954229354858,0.0002500000118743628
0.7792249917984009,0.7787253856658936,0.6490710377693176,0.7942000031471252,0.7883087396621704,0.6145188212394714,0.0002500000118743628
0.7770500183105469,0.7764812707901001,0.6606435775756836,0.7997999787330627,0.7959945201873779,0.593393087387085,0.0002500000118743628
0.7811499834060669,0.7807437181472778,0.6454409956932068,0.7919999957084656,0.7878553867340088,0.607989490032196,0.0002500000118743628
0.7855749726295471,0.785053551197052,0.6372451186180115,0.7875000238418579,0.7839947938919067,0.6213827133178711,0.0001250000059371814
0.7840499877929688,0.7836344838142395,0.6328352689743042,0.7972000241279602,0.7925155758857727,0.5922311544418335,0.0001250000059371814
0.7895749807357788,0.7891932129859924,0.6330960392951965,0.7922000288963318,0.7876067161560059,0.6081370711326599,0.0001250000059371814
0.7867249846458435,0.7863034009933472,0.6251676082611084,0.8001000285148621,0.7968283295631409,0.587387204170227,0.0001250000059371814
0.7878749966621399,0.7873703241348267,0.6251819729804993,0.8033000230789185,0.7989364266395569,0.5717012882232666,0.0001250000059371814
0.7856500148773193,0.7853498458862305,0.6232356429100037,0.7932000160217285,0.7883158922195435,0.6029109358787537,0.0001250000059371814
0.7907249927520752,0.7902302145957947,0.6184576749801636,0.8025000095367432,0.7987898588180542,0.5766597390174866,0.0001250000059371814
0.7896000146865845,0.7891788482666016,0.6232028603553772,0.7979000210762024,0.7940878868103027,0.5937839150428772,0.0001250000059371814
0.7907750010490417,0.7901009321212769,0.6171868443489075,0.8079000115394592,0.8044052124023438,0.5630810260772705,0.0001250000059371814
0.7891250252723694,0.7887983322143555,0.6236367225646973,0.8004000186920166,0.7956638336181641,0.588243305683136,0.0001250000059371814
0.7895249724388123,0.7890521287918091,0.617605447769165,0.8047000169754028,0.8008240461349487,0.5687117576599121,0.0001250000059371814
0.7885500192642212,0.7880821228027344,0.6208912134170532,0.7975999712944031,0.7931342124938965,0.608881950378418,0.0001250000059371814
0.7901750206947327,0.7897243499755859,0.6155340075492859,0.8065999746322632,0.8020707368850708,0.5701175928115845,0.0001250000059371814
0.7920250296592712,0.791546106338501,0.6189360022544861,0.8105999827384949,0.8071681261062622,0.5595239400863647,0.0001250000059371814
0.7945749759674072,0.7942269444465637,0.6086738109588623,0.8058000206947327,0.802852988243103,0.5672468543052673,0.0001250000059371814
0.7925249934196472,0.7920812964439392,0.6045101284980774,0.8039000034332275,0.8001428842544556,0.5740031003952026,0.0001250000059371814
0.7934749722480774,0.7930068969726562,0.6093722581863403,0.8133000135421753,0.8100644946098328,0.5535928010940552,0.0001250000059371814
0.7919250130653381,0.7914221286773682,0.614727795124054,0.8112000226974487,0.8072770833969116,0.56479811668396,0.0001250000059371814
0.7933499813079834,0.7928189039230347,0.6063653826713562,0.8044000267982483,0.8006439805030823,0.5781047940254211,0.0001250000059371814
0.7955750226974487,0.7952257394790649,0.6062332391738892,0.8076000213623047,0.8045427799224854,0.5750693082809448,0.0001250000059371814
0.792074978351593,0.7916417121887207,0.6099835634231567,0.8055999875068665,0.8014769554138184,0.5805800557136536,0.0001250000059371814
0.7940750122070312,0.793678879737854,0.6091379523277283,0.8076000213623047,0.802440345287323,0.5653809905052185,0.0001250000059371814
0.7956500053405762,0.7951661348342896,0.6039478182792664,0.8087000250816345,0.8042980432510376,0.5640416741371155,6.25000029685907e-05
0.7957249879837036,0.7953431606292725,0.6056420803070068,0.8061000108718872,0.8011216521263123,0.5766041874885559,6.25000029685907e-05
0.7964500188827515,0.7960383892059326,0.6057789325714111,0.8082000017166138,0.8039219379425049,0.5676615238189697,6.25000029685907e-05
0.7955499887466431,0.7949625253677368,0.6018346548080444,0.8059999942779541,0.8029168248176575,0.5673118233680725,6.25000029685907e-05
0.797950029373169,0.797455370426178,0.5961747169494629,0.8111000061035156,0.8073043823242188,0.5583867430686951,6.25000029685907e-05
0.797124981880188,0.7967029809951782,0.5996960997581482,0.8090000152587891,0.8050270080566406,0.5616269707679749,3.125000148429535e-05
0.7989749908447266,0.7985720038414001,0.5946177244186401,0.8122000098228455,0.8084577918052673,0.5494387745857239,3.125000148429535e-05
0.79830002784729,0.7978552579879761,0.5925015807151794,0.8095999956130981,0.8060098886489868,0.5620418190956116,3.125000148429535e-05
0.8008000254631042,0.8004193305969238,0.5901585221290588,0.8083999752998352,0.8042511940002441,0.560667872428894,3.125000148429535e-05
0.7975999712944031,0.7970787286758423,0.5943160057067871,0.8084999918937683,0.8040487170219421,0.5655715465545654,3.125000148429535e-05
0.8000500202178955,0.7995310425758362,0.5873286128044128,0.8072999715805054,0.803189754486084,0.5661346912384033,3.125000148429535e-05
0.7973250150680542,0.7969632148742676,0.5945845246315002,0.8080999851226807,0.8037744760513306,0.5650222897529602,3.125000148429535e-05
0.800849974155426,0.8005090951919556,0.5899286866188049,0.8115000128746033,0.8078980445861816,0.5545077919960022,1.5625000742147677e-05
0.8009999990463257,0.8006226420402527,0.5895240306854248,0.8087999820709229,0.8047065734863281,0.565089762210846,1.5625000742147677e-05
0.8021500110626221,0.8017077445983887,0.585110604763031,0.8108999729156494,0.8068895936012268,0.5573709607124329,1.5625000742147677e-05
0.800125002861023,0.7998244166374207,0.5883479118347168,0.8091999888420105,0.8052541017532349,0.5616657137870789,1.5625000742147677e-05
0.7976750135421753,0.7971514463424683,0.588543713092804,0.8112000226974487,0.8073391318321228,0.5547402501106262,1.5625000742147677e-05
0.8008999824523926,0.8005987405776978,0.5879727005958557,0.809499979019165,0.8053851127624512,0.5610820055007935,7.812500371073838e-06
0.8030750155448914,0.8026716113090515,0.5879291892051697,0.8101000189781189,0.8060877323150635,0.5580630898475647,7.812500371073838e-06
0.8044000267982483,0.803966760635376,0.5851150155067444,0.8104000091552734,0.8064402937889099,0.5564627647399902,7.812500371073838e-06
0.8009750247001648,0.8005616068840027,0.5851612091064453,0.8095999956130981,0.8055499196052551,0.56136554479599,7.812500371073838e-06
0.8016250133514404,0.801193356513977,0.5834885835647583,0.8098999857902527,0.8059185743331909,0.5586671829223633,7.812500371073838e-06
